Male ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
x+10,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.0005919,0.00067058,0.000750271,0.000829805,0.000908123,0.00098434,0.001057778,0.001128003,0.001194832,0.001258339,0.001318846,0.001376911,0.001433314,0.001489042,0.00154528,0.001603412,0.00166503,0.00173196,0.001806301,0.001890494,0.001987413,0.002100493,0.00223391,0.002392826,0.002583719,0.002765502,0.002987944,0.003261049,0.003596877,0.004010058,0.004518366,0.005133613,0.005888383,0.006812036,0.007938128,0.009303531,0.01094662,0.01290694,0.015226117,0.017947432,0.021115457,0.024776184,0.02897797,0.033773648,0.039224226,0.045404634,0.05241024,0.060343895,0.069285993,0.079267219,0.090233217,0.102003667,0.114269766,0.126623736,0.138578978,0.149601666,0.164959038,0.179208352,0.191745776,0.201040594,0.207633623,0.211346536,0.212193399,0.210628527,0.209075196,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332,0.20753332
x+11,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000558771,0.000633047,0.000708278,0.00078336,0.000857295,0.000929246,0.000998574,0.001064868,0.001127957,0.001187909,0.00124503,0.001299845,0.001353091,0.0014057,0.00145879,0.001513668,0.001571838,0.001635021,0.001705202,0.001784683,0.001876177,0.001982927,0.002108877,0.002258899,0.002439107,0.002610716,0.002820708,0.003078527,0.003395559,0.003785614,0.004265472,0.004846283,0.005558808,0.006430764,0.007493828,0.008782809,0.010333934,0.012184534,0.014373906,0.016942908,0.019933617,0.023389452,0.027356063,0.031883325,0.037028832,0.042863321,0.04947682,0.056966425,0.065408031,0.074830604,0.085182832,0.096294485,0.107874047,0.119536561,0.130822663,0.141228407,0.155726222,0.169177996,0.181013696,0.18978828,0.196012295,0.199517396,0.200316859,0.198839574,0.197373183,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606,0.195917606
x+12,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000524655,0.000594395,0.000665033,0.000735531,0.000804952,0.000872509,0.000937604,0.000999851,0.001059087,0.001115379,0.001169012,0.001220481,0.001270476,0.001319872,0.001369721,0.001421248,0.001475866,0.001535192,0.001601087,0.001675716,0.001761623,0.001861856,0.001980116,0.002120977,0.002290183,0.002451314,0.002648484,0.002890561,0.003188236,0.003554476,0.004005035,0.004550384,0.005219405,0.006038122,0.007036278,0.008246558,0.009702976,0.011440585,0.01349628,0.015908427,0.018716533,0.021961366,0.025685787,0.029936629,0.034767968,0.040246221,0.046455921,0.053488234,0.061414422,0.070261682,0.079981835,0.090415046,0.101287596,0.112238033,0.122835042,0.132605444,0.146218067,0.158848518,0.169961568,0.178200403,0.184044399,0.187335489,0.18808614,0.186699053,0.185322195,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491,0.183955491
x+13,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.00049114,0.000556425,0.000622551,0.000688545,0.000753531,0.000816773,0.00087771,0.00093598,0.000991433,0.001044129,0.001094335,0.001142516,0.001189318,0.001235558,0.001282223,0.001330459,0.001381588,0.001437124,0.00149881,0.001568671,0.001649091,0.00174292,0.001853626,0.001985489,0.002143886,0.002294723,0.002479299,0.002705912,0.002984571,0.003327415,0.003749193,0.004259705,0.004885989,0.005652406,0.0065868,0.007719767,0.009083149,0.010709759,0.012634136,0.014892195,0.017520919,0.020558471,0.024044976,0.028024273,0.032546986,0.037675287,0.043488311,0.050071399,0.057491261,0.065773357,0.074872585,0.084639321,0.094817331,0.105068253,0.114988323,0.124134591,0.136877638,0.148701255,0.159104401,0.166816939,0.172287619,0.175368474,0.176071173,0.174772693,0.17348379,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391,0.172204391
x+14,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000474828,0.000537946,0.000601875,0.000665678,0.000728505,0.000789647,0.00084856,0.000904895,0.000958506,0.001009452,0.001057991,0.001104572,0.001149819,0.001194524,0.001239639,0.001286273,0.001335703,0.001389395,0.001449032,0.001516573,0.001594322,0.001685036,0.001792064,0.001919548,0.002072685,0.002218513,0.002396958,0.002616045,0.00288545,0.003216908,0.003624677,0.004118234,0.004723719,0.005464682,0.006368044,0.007463383,0.008781486,0.010354074,0.01221454,0.014397606,0.016939026,0.019875697,0.023246411,0.02709355,0.031466058,0.036424041,0.042044007,0.048408462,0.055581901,0.063588938,0.072385969,0.081828338,0.091668323,0.101578799,0.11116941,0.120011919,0.132331752,0.143762691,0.153820335,0.161276729,0.166565722,0.169544257,0.170223619,0.168968263,0.167722165,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257,0.166485257
x+15,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000458678,0.000519649,0.000581404,0.000643037,0.000703727,0.000762789,0.000819699,0.000874117,0.000925905,0.000975118,0.001022007,0.001067003,0.001110711,0.001153896,0.001197476,0.001242524,0.001290273,0.001342139,0.001399748,0.001464991,0.001540096,0.001627724,0.001731113,0.001854261,0.002002188,0.002143056,0.002315433,0.002527068,0.00278731,0.003107494,0.003501395,0.003978165,0.004563055,0.005278817,0.006151453,0.007209538,0.008482809,0.01000191,0.011799098,0.013907913,0.016362895,0.019199684,0.022455752,0.026172043,0.030395832,0.035185184,0.040614004,0.04676199,0.053691446,0.061426147,0.069923973,0.079045188,0.088550495,0.098123895,0.10738831,0.115930066,0.127830877,0.138873026,0.148588589,0.155791375,0.160900478,0.163777707,0.164433963,0.163221304,0.162017589,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751,0.160822751
x+16,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000442618,0.000501454,0.000561047,0.000620522,0.000679088,0.000736081,0.000790998,0.000843512,0.000893486,0.000940976,0.000986223,0.001029644,0.001071821,0.001113494,0.001155548,0.001199019,0.001245096,0.001295146,0.001350738,0.001413697,0.001486172,0.001570732,0.0016705,0.001789337,0.001932085,0.002068021,0.002234362,0.002438587,0.002689717,0.00299869,0.003378799,0.003838876,0.004403287,0.005093988,0.00593607,0.006957108,0.008185798,0.00965171,0.011385972,0.013420951,0.015789975,0.018527438,0.021669501,0.025255672,0.029331572,0.033953233,0.039191971,0.045124696,0.051811528,0.059275412,0.0674757,0.076277551,0.085450045,0.094688248,0.103628285,0.111870965,0.123355089,0.134010615,0.143386004,0.150336597,0.155266813,0.158043301,0.158676578,0.157506379,0.15634481,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807,0.155191807
x+17,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.00042622,0.000482876,0.000540261,0.000597532,0.000653928,0.00070881,0.000761692,0.00081226,0.000860383,0.000906113,0.000949684,0.000991496,0.001032111,0.00107224,0.001112736,0.001154596,0.001198966,0.001247162,0.001300694,0.00136132,0.00143111,0.001512537,0.001608609,0.001723043,0.001860502,0.001991402,0.00215158,0.002348239,0.002590064,0.002887591,0.003253617,0.003696648,0.004240148,0.004905259,0.005716143,0.006699351,0.007882519,0.00929412,0.010964129,0.012923712,0.015204966,0.017841008,0.020866659,0.024319964,0.028244855,0.032695286,0.037739932,0.043452853,0.049891942,0.057079293,0.064975765,0.073451513,0.082284171,0.091180105,0.099788919,0.107726213,0.118784856,0.129045602,0.138073638,0.144766715,0.14951427,0.15218789,0.152797705,0.151670861,0.150552328,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043,0.149442043
x+18,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000408768,0.000463104,0.00051814,0.000573066,0.000627153,0.000679788,0.000730505,0.000779002,0.000825154,0.000869012,0.000910799,0.000950899,0.000989851,0.001028337,0.001067175,0.001107321,0.001149875,0.001196096,0.001247437,0.001305581,0.001372513,0.001450606,0.001542745,0.001652493,0.001784324,0.001909864,0.002063483,0.00225209,0.002484014,0.002769358,0.003120397,0.003545288,0.004066535,0.004704412,0.005482094,0.006425046,0.007559768,0.008913571,0.010515201,0.012394549,0.014582397,0.017110506,0.020012271,0.02332418,0.027088366,0.031356574,0.036194666,0.041673671,0.04784911,0.054742174,0.062315325,0.070444032,0.078915036,0.087446724,0.095703049,0.10331535,0.113921196,0.123761814,0.132420196,0.138839224,0.14339239,0.145956538,0.146541384,0.145460679,0.144387944,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312,0.14332312
x+19,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.00038935,0.000441105,0.000493526,0.000545843,0.000597361,0.000647495,0.000695803,0.000741997,0.000785956,0.000827731,0.000867532,0.000905728,0.000942829,0.000979487,0.00101648,0.001054719,0.001095251,0.001139277,0.001188179,0.001243561,0.001307314,0.001381697,0.001469459,0.001573993,0.001699562,0.001819138,0.00196546,0.002145107,0.002366014,0.002637803,0.002972167,0.003376874,0.003873359,0.004480935,0.005221675,0.006119832,0.007200651,0.008490143,0.010015691,0.011805763,0.013889679,0.016297694,0.019061615,0.022216196,0.025801569,0.029867021,0.034475286,0.039694018,0.045576101,0.052141719,0.059355117,0.067097681,0.075166281,0.083292683,0.091156802,0.09840749,0.10850952,0.117882672,0.126129749,0.13224385,0.136580723,0.139023066,0.13958013,0.138550762,0.137528985,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744,0.136514744
